Id,Processor_Manufacturer,Processor,GPU_Manufacturer,Memory_Capacity,Memory_Type
1,AMD,C420,Matrox,2.00000,GDDR5
2,AMD,C680,Matrox,2.00000,GDDR5
3,AMD,C680,Matrox,4.00000,GDDR5
4,AMD,C900,Matrox,4.00000,GDDR5
5,AMD,FireGL V3300,AMD,.12500,GDDR2
6,AMD,FireGL V3600,AMD,.25000,GDDR2
7,AMD,FireGL V7350,AMD,1.00000,GDDR3
8,AMD,FireGL V7600,AMD,.50000,GDDR2
9,AMD,FireMV 2200,AMD,.12500,GDDR
10,AMD,FireMV 2250,AMD,.25000,GDDR2
11,AMD,FireMV 2260,AMD,.25000,GDDR2
12,AMD,FirePro 2270,AMD,.50000,GDDR3
13,AMD,FirePro 2270,AMD,1.00000,GDDR3
14,AMD,FirePro 2450,AMD,.25000,GDDR3
15,AMD,FirePro 2450,AMD,.50000,GDDR3
16,AMD,FirePro 2460,AMD,.50000,GDDR3
17,AMD,FirePro 2460,AMD,.50000,GDDR5
18,AMD,FirePro R5000,AMD,2.00000,GDDR5
19,AMD,FirePro RG220,AMD,.50000,GDDR3
20,AMD,FirePro RG220A,AMD,.50000,GDDR5
21,AMD,FirePro S10000,AMD,6.00000,GDDR5
22,AMD,FirePro S10000,Club 3D,2.00000,GDDR5
23,AMD,FirePro S10000,Sapphire,6.00000,GDDR5
24,AMD,FirePro S7000,AMD,4.00000,GDDR5
25,AMD,FirePro S7000,AMD,8.00000,GDDR5
26,AMD,FirePro S7000,AMD,16.00000,GDDR5
27,AMD,FirePro S7150,AMD,8.00000,GDDR5
28,AMD,FirePro S7150,AMD,16.00000,GDDR5
29,AMD,FirePro S7150,Club 3D,2.00000,GDDR5
30,AMD,FirePro S7150,PowerColor,2.00000,GDDR5
31,AMD,FirePro S7150,XFX,2.00000,GDDR5
32,AMD,FirePro S9000,AMD,6.00000,GDDR5
33,AMD,FirePro S9000,AMD,12.00000,GDDR5
34,AMD,FirePro S9000,AMD,16.00000,GDDR5
35,AMD,FirePro S9000,AMD,32.00000,GDDR5
36,AMD,FirePro S9050,AMD,12.00000,GDDR5
37,AMD,FirePro S9100,AMD,12.00000,GDDR5
38,AMD,FirePro S9150,AMD,16.00000,GDDR5
39,AMD,FirePro S9300,AMD,8.00000,HBM
40,AMD,FirePro V3800,AMD,.50000,GDDR3
41,AMD,FirePro V3900,AMD,1.00000,GDDR3
42,AMD,FirePro V4800,AMD,1.00000,GDDR5
43,AMD,FirePro V4900,AMD,1.00000,GDDR5
44,AMD,FirePro V5700,AMD,.50000,GDDR3
45,AMD,FirePro V5800,AMD,1.00000,GDDR5
46,AMD,FirePro V5900,AMD,2.00000,GDDR5
47,AMD,FirePro V7750,AMD,1.00000,GDDR3
48,AMD,FirePro V7800,AMD,2.00000,GDDR5
49,AMD,FirePro V7900,AMD,2.00000,GDDR5
50,AMD,FirePro V8700,AMD,1.00000,GDDR5
51,AMD,FirePro V8750,AMD,2.00000,GDDR5
52,AMD,FirePro V8800,AMD,2.00000,GDDR5
53,AMD,FirePro V9800,AMD,4.00000,GDDR5
54,AMD,FirePro W2100,AMD,2.00000,GDDR3
55,AMD,FirePro W4100,AMD,2.00000,GDDR5
56,AMD,FirePro W4300,AMD,4.00000,GDDR5
