Id,Merchant
1,1stWave Technologies
2,Adorama
3,Alternate
4,Alternate Italia
5,Alza
6,Aquatuning
7,Aquila Technology
8,Aria PC
9,ARLT
10,Ascent Technology
11,AWD-IT
12,AX86 Gaming Systems
13,B H
14,Best Buy
15,Box Limited
16,BT Shop
17,Bytes At Work
18,Caseking
19,CCL Computers
20,Centre Com
21,Computer Lounge
22,Corsair
23,Corsair DE
24,Corsair UK
25,Custompcparts
26,Dell
27,Dell Small Business
28,Directron
29,DTC Systems
30,Ebuyer
31,Electronicamente
32,geizhals_unknown
33,IJK
34,JW Computers
35,Kogan
36,Komplett
37,Kustom PCs
38,Laptops Direct
39,LDLC
40,Memory Express
41,Mighty Ape
42,Mike's Computer Shop
43,Mindfactory
44,Monoprice
45,More Computers
46,Mwave Australia
47,Newegg
48,Newegg Australia
49,Newegg Business
50,Newegg Canada
51,Newegg Canada Marketplace
52,Newegg Marketplace
53,Novatech
54,Other World Computing
55,OutletPC
56,Overclockers.co.uk
57,Paradigm PCs
58,PB Technologies
59,PC Componentes
60,PC Force
61,PC World
62,PC World Business
63,PC-Canada
64,PCCaseGear
65,PCM
66,Playtech
67,PLE Computers
68,pricespy_unknown
69,RamCity
70,Scan.co.uk
71,Scorptec
72,Senetic
73,Shopping Express
74,shopRBC
75,Skycomp Technology
76,SmartTeck.co.uk
77,Storm Computers
78,SuperBiiz
79,Umart
80,Vuugo
81,YoYoTech
