Id,Processor_Manufacturer,Processor,GPU_Manufacturer,Memory_Capacity,Memory_Type,Price_Original
1,AMD,C420,Matrox,2.00000,GDDR5,199.9900000000
2,AMD,C680,Matrox,2.00000,GDDR5,405.4800000000
3,AMD,C680,Matrox,4.00000,GDDR5,519.0700000000
4,AMD,C900,Matrox,4.00000,GDDR5,1382.0800000000
5,AMD,FireGL V3300,AMD,.12500,GDDR2,11.95
6,AMD,FireGL V3600,AMD,.25000,GDDR2,107.0000000000
7,AMD,FireGL V7350,AMD,1.00000,GDDR3,1359.0000000000
8,AMD,FireGL V7600,AMD,.50000,GDDR2,109.6900000000
9,AMD,FireMV 2200,AMD,.12500,GDDR,48.4200000000
10,AMD,FireMV 2250,AMD,.25000,GDDR2,101.5300000000
11,AMD,FireMV 2260,AMD,.25000,GDDR2,100.0000000000
12,AMD,FirePro 2270,AMD,.50000,GDDR3,100.0050000000
13,AMD,FirePro 2270,AMD,1.00000,GDDR3,100.1000000000
14,AMD,FirePro 2450,AMD,.25000,GDDR3,127.8300000000
15,AMD,FirePro 2450,AMD,.50000,GDDR3,193.93
16,AMD,FirePro 2460,AMD,.50000,GDDR3,100.8700000000
17,AMD,FirePro 2460,AMD,.50000,GDDR5,100.0000000000
18,AMD,FirePro R5000,AMD,2.00000,GDDR5,1019.9500000000
19,AMD,FirePro RG220,AMD,.50000,GDDR3,203.9800000000
20,AMD,FirePro RG220A,AMD,.50000,GDDR5,1052.2300000000
21,AMD,FirePro S10000,AMD,6.00000,GDDR5,1299.0200000000
22,AMD,FirePro S10000,Club 3D,2.00000,GDDR5,155.6400000000
23,AMD,FirePro S10000,Sapphire,6.00000,GDDR5,1000.6250000000
24,AMD,FirePro S7000,AMD,4.00000,GDDR5,1000.7800000000
25,AMD,FirePro S7000,AMD,8.00000,GDDR5,1128.5700000000
26,AMD,FirePro S7000,AMD,16.00000,GDDR5,2171.6800000000
27,AMD,FirePro S7150,AMD,8.00000,GDDR5,1658.0900000000
28,AMD,FirePro S7150,AMD,16.00000,GDDR5,2748.6500000000
29,AMD,FirePro S7150,Club 3D,2.00000,GDDR5,159.9000000000
30,AMD,FirePro S7150,PowerColor,2.00000,GDDR5,159.9500000000
31,AMD,FirePro S7150,XFX,2.00000,GDDR5,163.9500000000
32,AMD,FirePro S9000,AMD,6.00000,GDDR5,1064.5400000000
33,AMD,FirePro S9000,AMD,12.00000,GDDR5,1097.1100000000
34,AMD,FirePro S9000,AMD,16.00000,GDDR5,1505.2900000000
35,AMD,FirePro S9000,AMD,32.00000,GDDR5,2679.0300000000
36,AMD,FirePro S9050,AMD,12.00000,GDDR5,1474.99
37,AMD,FirePro S9100,AMD,12.00000,GDDR5,1352.2100000000
38,AMD,FirePro S9150,AMD,16.00000,GDDR5,1799.9900000000
39,AMD,FirePro S9300,AMD,8.00000,HBM,3328.5200000000
40,AMD,FirePro V3800,AMD,.50000,GDDR3,140.33
41,AMD,FirePro V3900,AMD,1.00000,GDDR3,100.0800000000
42,AMD,FirePro V4800,AMD,1.00000,GDDR5,100.7500000000
43,AMD,FirePro V4900,AMD,1.00000,GDDR5,115.2100000000
44,AMD,FirePro V5700,AMD,.50000,GDDR3,118.8000000000
45,AMD,FirePro V5800,AMD,1.00000,GDDR5,138.0200000000
46,AMD,FirePro V5900,AMD,2.00000,GDDR5,299.9000000000
47,AMD,FirePro V7750,AMD,1.00000,GDDR3,242.7800000000
48,AMD,FirePro V7800,AMD,2.00000,GDDR5,299.9000000000
49,AMD,FirePro V7900,AMD,2.00000,GDDR5,114.9900000000
50,AMD,FirePro V8700,AMD,1.00000,GDDR5,379.9200000000
51,AMD,FirePro V8750,AMD,2.00000,GDDR5,1269.99
52,AMD,FirePro V8800,AMD,2.00000,GDDR5,1180.9900000000
53,AMD,FirePro V9800,AMD,4.00000,GDDR5,0
54,AMD,FirePro W2100,AMD,2.00000,GDDR3,101.9000000000
55,AMD,FirePro W4100,AMD,2.00000,GDDR5,108.7500000000
56,AMD,FirePro W4300,AMD,4.00000,GDDR5,233.2600000000
57,AMD,FirePro W4300,Sapphire,4.00000,GDDR5,279.5750000000
58,AMD,FirePro W5000,AMD,2.00000,GDDR5,135.9100000000
59,AMD,FirePro W5100,AMD,4.00000,GDDR5,179.9900000000
60,AMD,FirePro W5100,HP,4.00000,GDDR5,280.7700000000
61,AMD,FirePro W600,AMD,2.00000,GDDR5,372.5400000000
62,AMD,FirePro W7000,AMD,4.00000,GDDR5,265.4600000000
63,AMD,FirePro W7000,HP,4.00000,GDDR5,0
64,AMD,FirePro W7100,AMD,8.00000,GDDR5,473.9000000000
65,AMD,FirePro W8000,AMD,4.00000,GDDR5,1003.1750000000
66,AMD,FirePro W8100,AMD,8.00000,GDDR5,1000.0100000000
67,AMD,FirePro W9000,AMD,6.00000,GDDR5,1290.0000000000
68,AMD,FirePro W9100,AMD,16.00000,GDDR5,1501.7600000000
69,AMD,FirePro W9100,AMD,32.00000,GDDR5,1900.5300000000
70,AMD,GPRO 2200,Sapphire,2.00000,GDDR3,100.0700000000
71,AMD,GPRO 4200,Sapphire,4.00000,GDDR5,132.7600000000
72,AMD,GPRO 6200,Sapphire,4.00000,GDDR5,177.9800000000
73,AMD,GPRO 8200,Sapphire,8.00000,GDDR5,299
74,AMD,GPRO E9260,Sapphire,8.00000,GDDR5,299.9900000000
